"Statistic Label","Employment Status","Sex","Broad Industrial Group","CensusYear","UNIT","VALUE"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Real estate activities (L)","2011","Number","4865"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Real estate activities (L)","2016","Number","4846"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Professional, scientific and technical activities (M)","2011","Number","54006"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Professional, scientific and technical activities (M)","2016","Number","63337"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Administrative and support service activities (N)","2011","Number","41213"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Administrative and support service activities (N)","2016","Number","43763"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Public administration and defence; compulsory social security (O)","2011","Number","61900"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Public administration and defence; compulsory social security (O)","2016","Number","57177"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Education (P)","2011","Number","45035"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Education (P)","2016","Number","45340"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Human health and social work activities (Q)","2011","Number","39620"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Human health and social work activities (Q)","2016","Number","48361"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Arts, entertainment and recreation (R)","2011","Number","18016"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Arts, entertainment and recreation (R)","2016","Number","20403"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Other service activities (S)","2011","Number","12417"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Other service activities (S)","2016","Number","12426"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Activities of households as employers producing activities of households for own use (T)","2011","Number","186"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Activities of households as employers producing activities of households for own use (T)","2016","Number","135"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Activities of extraterritorial organisations and bodies (U)","2011","Number","438"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Activities of extraterritorial organisations and bodies (U)","2016","Number","421"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Industry not stated","2011","Number","150827"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Industry not stated","2016","Number","169192"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Total persons","2011","Number","1209356"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Male","Total persons","2016","Number","1230127"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Agriculture, forestry and fishing (A)","2011","Number","11980"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Agriculture, forestry and fishing (A)","2016","Number","11149"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Mining and quarrying (B)","2011","Number","660"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Mining and quarrying (B)","2016","Number","637"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Manufacturing (C)","2011","Number","66815"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Manufacturing (C)","2016","Number","66538"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Electricity, gas, steam and air conditioning supply (D)","2011","Number","2892"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Electricity, gas, steam and air conditioning supply (D)","2016","Number","3277"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","1891"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","2115"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Construction (F)","2011","Number","9266"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Construction (F)","2016","Number","7952"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","145463"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","139311"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Transportation and storage (H)","2011","Number","17045"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Transportation and storage (H)","2016","Number","18093"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Accommodation and food service activities (I)","2011","Number","65426"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Accommodation and food service activities (I)","2016","Number","68584"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Information and communication (J)","2011","Number","25235"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Information and communication (J)","2016","Number","30965"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Financial and insurance activities (K)","2011","Number","54885"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Financial and insurance activities (K)","2016","Number","50215"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Real estate activities (L)","2011","Number","4409"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Real estate activities (L)","2016","Number","4634"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Professional, scientific and technical activities (M)","2011","Number","49283"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Professional, scientific and technical activities (M)","2016","Number","55591"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Administrative and support service activities (N)","2011","Number","31115"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Administrative and support service activities (N)","2016","Number","34467"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Public administration and defence; compulsory social security (O)","2011","Number","55300"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Public administration and defence; compulsory social security (O)","2016","Number","51643"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Education (P)","2011","Number","131314"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Education (P)","2016","Number","138640"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Human health and social work activities (Q)","2011","Number","166539"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Human health and social work activities (Q)","2016","Number","182857"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Arts, entertainment and recreation (R)","2011","Number","16730"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Arts, entertainment and recreation (R)","2016","Number","16701"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Other service activities (S)","2011","Number","32060"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Other service activities (S)","2016","Number","33833"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Activities of households as employers producing activities of households for own use (T)","2011","Number","2014"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Activities of households as employers producing activities of households for own use (T)","2016","Number","2892"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Activities of extraterritorial organisations and bodies (U)","2011","Number","428"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Activities of extraterritorial organisations and bodies (U)","2016","Number","489"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Industry not stated","2011","Number","97931"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Industry not stated","2016","Number","121893"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Total persons","2011","Number","988681"
"Population Aged 15 Years and Over","Population aged 15 years and over at work and unemployed","Female","Total persons","2016","Number","1042476"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Agriculture, forestry and fishing (A)","2011","Number","91526"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Agriculture, forestry and fishing (A)","2016","Number","89116"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Mining and quarrying (B)","2011","Number","5339"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Mining and quarrying (B)","2016","Number","5055"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Manufacturing (C)","2011","Number","183692"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Manufacturing (C)","2016","Number","201315"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2011","Number","11328"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2016","Number","12919"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","9444"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","10259"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Construction (F)","2011","Number","87371"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Construction (F)","2016","Number","101849"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","262206"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","266673"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Transportation and storage (H)","2011","Number","77999"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Transportation and storage (H)","2016","Number","81124"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Accommodation and food service activities (I)","2011","Number","103549"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Accommodation and food service activities (I)","2016","Number","116918"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Information and communication (J)","2011","Number","68531"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Information and communication (J)","2016","Number","90070"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Financial and insurance activities (K)","2011","Number","92837"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Financial and insurance activities (K)","2016","Number","90878"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Real estate activities (L)","2011","Number","8378"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Real estate activities (L)","2016","Number","9044"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Professional, scientific and technical activities (M)","2011","Number","92868"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Professional, scientific and technical activities (M)","2016","Number","113522"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Administrative and support service activities (N)","2011","Number","60716"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Administrative and support service activities (N)","2016","Number","71076"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Public administration and defence; compulsory social security (O)","2011","Number","113042"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Public administration and defence; compulsory social security (O)","2016","Number","105929"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Education (P)","2011","Number","167290"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Education (P)","2016","Number","176855"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Human health and social work activities (Q)","2011","Number","197343"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Human health and social work activities (Q)","2016","Number","223725"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Arts, entertainment and recreation (R)","2011","Number","30663"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Arts, entertainment and recreation (R)","2016","Number","34165"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Other service activities (S)","2011","Number","39140"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Other service activities (S)","2016","Number","42489"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Activities of households as employers producing activities of households for own use (T)","2011","Number","1969"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Activities of households as employers producing activities of households for own use (T)","2016","Number","2803"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Activities of extraterritorial organisations and bodies (U)","2011","Number","818"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Activities of extraterritorial organisations and bodies (U)","2016","Number","868"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Industry not stated","2011","Number","101311"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Industry not stated","2016","Number","159989"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Total persons","2011","Number","1807360"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Both sexes","Total persons","2016","Number","2006641"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Agriculture, forestry and fishing (A)","2011","Number","80431"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Agriculture, forestry and fishing (A)","2016","Number","78631"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Mining and quarrying (B)","2011","Number","4762"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Mining and quarrying (B)","2016","Number","4470"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Manufacturing (C)","2011","Number","126848"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Manufacturing (C)","2016","Number","140479"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Electricity, gas, steam and air conditioning supply (D)","2011","Number","8569"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Electricity, gas, steam and air conditioning supply (D)","2016","Number","9757"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","7734"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","8273"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Construction (F)","2011","Number","80174"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Construction (F)","2016","Number","94638"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","134711"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","139989"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Transportation and storage (H)","2011","Number","62509"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Transportation and storage (H)","2016","Number","63998"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Accommodation and food service activities (I)","2011","Number","47988"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Accommodation and food service activities (I)","2016","Number","55160"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Information and communication (J)","2011","Number","45760"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Information and communication (J)","2016","Number","60868"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Financial and insurance activities (K)","2011","Number","40995"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Financial and insurance activities (K)","2016","Number","43063"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Real estate activities (L)","2011","Number","4494"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Real estate activities (L)","2016","Number","4648"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Professional, scientific and technical activities (M)","2011","Number","48335"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Professional, scientific and technical activities (M)","2016","Number","60623"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Administrative and support service activities (N)","2011","Number","33916"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Administrative and support service activities (N)","2016","Number","39606"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Public administration and defence; compulsory social security (O)","2011","Number","59529"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Public administration and defence; compulsory social security (O)","2016","Number","55546"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Education (P)","2011","Number","42144"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Education (P)","2016","Number","43380"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Human health and social work activities (Q)","2011","Number","37928"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Human health and social work activities (Q)","2016","Number","46691"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Arts, entertainment and recreation (R)","2011","Number","15804"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Arts, entertainment and recreation (R)","2016","Number","18691"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Other service activities (S)","2011","Number","11323"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Other service activities (S)","2016","Number","11647"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Activities of households as employers producing activities of households for own use (T)","2011","Number","153"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Activities of households as employers producing activities of households for own use (T)","2016","Number","123"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Activities of extraterritorial organisations and bodies (U)","2011","Number","413"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Activities of extraterritorial organisations and bodies (U)","2016","Number","405"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Industry not stated","2011","Number","60021"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Industry not stated","2016","Number","95988"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Total persons","2011","Number","954541"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Male","Total persons","2016","Number","1076674"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Agriculture, forestry and fishing (A)","2011","Number","11095"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Agriculture, forestry and fishing (A)","2016","Number","10485"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Mining and quarrying (B)","2011","Number","577"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Mining and quarrying (B)","2016","Number","585"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Manufacturing (C)","2011","Number","56844"
